text,true_label,predicted_label,confidence,model_reasoning,history,models
#IranDeal most members of Congress who don't want this deal don't have any kids who would b coming home in body bags. War makes them money,0,1,"['0.85', 0.85]","['The tweet discusses the political implications of the Iran Deal and the potential consequences of war, specifically mentioning ""body bags"" in a metaphorical context. It suggests that those opposing the deal are disconnected from the personal impact of war, as they do not have children who would be affected. This use of ""body bags"" is figurative, aimed at criticizing the motivations behind political decisions rather than reporting on an actual disaster event. The confidence score reflects a strong certainty in this interpretation.', 'The tweet discusses the implications of war and the financial motivations behind it, specifically in the context of the Iran Deal. It uses the phrase ""body bags"" metaphorically to highlight the potential consequences of war, rather than reporting on an actual disaster event. The language is figurative and does not describe a specific disaster or emergency situation, which aligns with the classification of ""Not Disaster-Related.""']","['{\'initial_response\': {\'classification\': \'1\', \'confidence\': \'0.85\', \'reasoning\': \'The tweet discusses the political implications of the Iran Deal and the potential consequences of war, specifically mentioning ""body bags"" in a metaphorical context. It suggests that those opposing the deal are disconnected from the personal impact of war, as they do not have children who would be affected. This use of ""body bags"" is figurative, aimed at criticizing the motivations behind political decisions rather than reporting on an actual disaster event. The confidence score reflects a strong certainty in this interpretation.\'}, \'rounds\': [], \'summary\': \'All expert levels exhausted.\'}', '{\'initial_response\': \'1\\n0.85\\nThe tweet discusses the implications of war and the financial motivations behind it, specifically in the context of the Iran Deal. It uses the phrase ""body bags"" metaphorically to highlight the potential consequences of war, rather than reporting on an actual disaster event. The language is figurative and does not describe a specific disaster or emergency situation, which aligns with the classification of ""Not Disaster-Related.""\', \'rounds\': []}']","['A4MT', 'A4M2T']"
#NASA announced that a massive #solar storm is headed straight for us: http://t.co/CM5u55MiOl,1,0,"['0.85', 0.85]","['The tweet mentions a ""massive solar storm"" which is a natural phenomenon but does not describe a specific disaster event or emergency situation. It appears to be informational in nature rather than a report of an actual disaster. The language used does not indicate a direct impact or emergency response related to the storm, which aligns with the classification of ""not disaster-related.""', 'The tweet discusses a ""massive solar storm"" that is headed towards Earth, which can be interpreted as a potential natural disaster. However, it lacks specific details about the storm\'s impact or any immediate disaster-related context. The language used is somewhat sensational, but it does not provide evidence of an actual disaster event occurring or being reported. Thus, it leans more towards a warning rather than a report of a verifiable disaster event. The confidence score reflects a moderate certainty due to the potential implications of solar storms but ultimately categorizes it as not directly related to a specific disaster event.']","['{\'initial_response\': {\'classification\': \'0\', \'confidence\': \'0.85\', \'reasoning\': \'The tweet mentions a ""massive solar storm"" which is a natural phenomenon but does not describe a specific disaster event or emergency situation. It appears to be informational in nature rather than a report of an actual disaster. The language used does not indicate a direct impact or emergency response related to the storm, which aligns with the classification of ""not disaster-related.""\'}, \'rounds\': [], \'summary\': \'All expert levels exhausted.\'}', '{\'initial_response\': \'0  \\n0.85  \\nThe tweet discusses a ""massive solar storm"" that is headed towards Earth, which can be interpreted as a potential natural disaster. However, it lacks specific details about the storm\\\'s impact or any immediate disaster-related context. The language used is somewhat sensational, but it does not provide evidence of an actual disaster event occurring or being reported. Thus, it leans more towards a warning rather than a report of a verifiable disaster event. The confidence score reflects a moderate certainty due to the potential implications of solar storms but ultimately categorizes it as not directly related to a specific disaster event.\', \'rounds\': []}']","['A4MT', 'A4M2T']"
.@NorwayMFA #Bahrain police had previously died in a road accident they were not killed by explosion https://t.co/gFJfgTodad,1,0,"['0.85', 0.85]","['The tweet discusses a police incident in Bahrain, clarifying that the police had died in a road accident rather than an explosion. The use of the term ""road accident"" indicates that this is not a disaster-related event as per the classification guidelines. The context suggests a clarification of facts rather than reporting on a disaster, which aligns with the classification of ""not disaster-related."" The confidence score reflects a strong certainty in this classification based on the clear distinction made in the tweet.', 'The tweet discusses a clarification regarding the deaths of police officers in Bahrain, stating that they died in a road accident rather than an explosion. The context indicates that the language used is not metaphorical or humorous, but rather factual. It does not report a disaster event but rather corrects a misconception about the circumstances of the deaths. The use of ""road accident"" suggests a non-disaster-related context, leading to the classification of ""0"". The confidence score reflects a strong certainty based on the clear distinction made in the tweet.']","['{\'initial_response\': {\'classification\': \'0\', \'confidence\': \'0.85\', \'reasoning\': \'The tweet discusses a police incident in Bahrain, clarifying that the police had died in a road accident rather than an explosion. The use of the term ""road accident"" indicates that this is not a disaster-related event as per the classification guidelines. The context suggests a clarification of facts rather than reporting on a disaster, which aligns with the classification of ""not disaster-related."" The confidence score reflects a strong certainty in this classification based on the clear distinction made in the tweet.\'}, \'rounds\': [], \'summary\': \'All expert levels exhausted.\'}', '{\'initial_response\': \'0  \\n0.85  \\nThe tweet discusses a clarification regarding the deaths of police officers in Bahrain, stating that they died in a road accident rather than an explosion. The context indicates that the language used is not metaphorical or humorous, but rather factual. It does not report a disaster event but rather corrects a misconception about the circumstances of the deaths. The use of ""road accident"" suggests a non-disaster-related context, leading to the classification of ""0"". The confidence score reflects a strong certainty based on the clear distinction made in the tweet.\', \'rounds\': []}']","['A4MT', 'A4M2T']"
1/2 of the deaths in red-light running crashes are pedestrians bicyclists &amp; other vehicle occupants that are hit by the red-light runners.,1,0,"['0.85', 0.85]","['The tweet discusses traffic accidents involving red-light runners and the resulting fatalities, specifically mentioning pedestrians and bicyclists. While it addresses a serious issue, it does not report on a specific disaster event, such as a natural disaster or significant emergency. Instead, it presents statistical information about traffic safety, which aligns more with general road safety discussions rather than a disaster-related context. The language used is factual and does not invoke metaphorical or humorous connotations, but it lacks the urgency or specificity typically associated with disaster events.', 'The tweet discusses traffic accidents related to red-light running, specifically highlighting the fatalities involving pedestrians, bicyclists, and other vehicle occupants. While it mentions deaths, it does not describe a specific disaster event or significant emergency; rather, it focuses on traffic safety statistics. The language used is factual and does not employ disaster-related terms in a metaphorical or humorous context, which aligns with the classification of ""not disaster-related.""']","[""{'initial_response': {'classification': '0', 'confidence': '0.85', 'reasoning': 'The tweet discusses traffic accidents involving red-light runners and the resulting fatalities, specifically mentioning pedestrians and bicyclists. While it addresses a serious issue, it does not report on a specific disaster event, such as a natural disaster or significant emergency. Instead, it presents statistical information about traffic safety, which aligns more with general road safety discussions rather than a disaster-related context. The language used is factual and does not invoke metaphorical or humorous connotations, but it lacks the urgency or specificity typically associated with disaster events.'}, 'rounds': [], 'summary': 'All expert levels exhausted.'}"", '{\'initial_response\': \'0  \\n0.85  \\nThe tweet discusses traffic accidents related to red-light running, specifically highlighting the fatalities involving pedestrians, bicyclists, and other vehicle occupants. While it mentions deaths, it does not describe a specific disaster event or significant emergency; rather, it focuses on traffic safety statistics. The language used is factual and does not employ disaster-related terms in a metaphorical or humorous context, which aligns with the classification of ""not disaster-related.""\', \'rounds\': []}']","['A4MT', 'A4M2T']"
@Arovolturi3000 survived because of magic  she is searching the wood for survivors outside of London,1,0,"['0.85', 0.85]","['The tweet uses the term ""survived"" and mentions ""searching for survivors,"" which could imply a disaster context. However, the mention of ""magic"" suggests a figurative or fictional context rather than a real disaster event. The phrase ""outside of London"" does not provide any verifiable disaster-related information. Therefore, this tweet appears to be metaphorical or part of a fictional narrative rather than reporting on an actual disaster event.', 'The tweet uses the term ""survived"" and mentions ""searching for survivors,"" which could imply a disaster context. However, the mention of ""magic"" suggests a fictional or metaphorical scenario rather than a real disaster event. The context does not provide clear evidence of an actual disaster, leading to the classification of ""not disaster-related.""']","['{\'initial_response\': {\'classification\': \'0\', \'confidence\': \'0.85\', \'reasoning\': \'The tweet uses the term ""survived"" and mentions ""searching for survivors,"" which could imply a disaster context. However, the mention of ""magic"" suggests a figurative or fictional context rather than a real disaster event. The phrase ""outside of London"" does not provide any verifiable disaster-related information. Therefore, this tweet appears to be metaphorical or part of a fictional narrative rather than reporting on an actual disaster event.\'}, \'rounds\': [], \'summary\': \'All expert levels exhausted.\'}', '{\'initial_response\': \'0  \\n0.85  \\nThe tweet uses the term ""survived"" and mentions ""searching for survivors,"" which could imply a disaster context. However, the mention of ""magic"" suggests a fictional or metaphorical scenario rather than a real disaster event. The context does not provide clear evidence of an actual disaster, leading to the classification of ""not disaster-related.""\', \'rounds\': []}']","['A4MT', 'A4M2T']"
@ChristieC733 please support this Please cosponsor S. 928 and support aid for sick and injured 9/11 responders! #renew911health,1,0,"['0.85', 0.85]","['The tweet expresses a call to action for supporting aid for sick and injured 9/11 responders, which is related to a significant event (the 9/11 attacks) and its aftermath. However, it does not describe a current disaster event or a specific incident; rather, it advocates for legislative support regarding health issues related to past events. The language used does not indicate a metaphorical or humorous context, but it is focused on advocacy rather than reporting on a disaster. Therefore, it is classified as ""not disaster-related.""', 'The tweet expresses a call to action regarding support for aid for sick and injured 9/11 responders. While it references a significant event (9/11), it does not describe a current disaster or emergency situation. Instead, it is advocating for legislative support related to past events. The language used is not metaphorical or humorous, but it does not fit the criteria for being classified as disaster-related as it does not report or describe an actual disaster event.']","['{\'initial_response\': {\'classification\': \'0\', \'confidence\': \'0.85\', \'reasoning\': \'The tweet expresses a call to action for supporting aid for sick and injured 9/11 responders, which is related to a significant event (the 9/11 attacks) and its aftermath. However, it does not describe a current disaster event or a specific incident; rather, it advocates for legislative support regarding health issues related to past events. The language used does not indicate a metaphorical or humorous context, but it is focused on advocacy rather than reporting on a disaster. Therefore, it is classified as ""not disaster-related.""\'}, \'rounds\': [], \'summary\': \'All expert levels exhausted.\'}', ""{'initial_response': '0  \\n0.85  \\nThe tweet expresses a call to action regarding support for aid for sick and injured 9/11 responders. While it references a significant event (9/11), it does not describe a current disaster or emergency situation. Instead, it is advocating for legislative support related to past events. The language used is not metaphorical or humorous, but it does not fit the criteria for being classified as disaster-related as it does not report or describe an actual disaster event.', 'rounds': []}""]","['A4MT', 'A4M2T']"
@SonofLiberty357 all illuminated by the brightly burning buildings all around the town!,0,1,"['0.85', 0.85]","['The tweet describes ""brightly burning buildings"" which suggests a disaster event, likely a fire affecting a town. However, the context is not clear whether this is a literal event or metaphorical language. The phrase ""all illuminated by"" could imply a dramatic description rather than a factual report. Given the ambiguity, I lean towards classifying it as not disaster-related, but with a relatively high confidence due to the mention of burning buildings.', 'The tweet describes ""brightly burning buildings"" which suggests a disaster scenario, likely a fire or destruction of property. However, the context provided by the phrase ""all illuminated"" may imply a figurative or exaggerated expression rather than a direct report of an actual disaster event. The language used could be interpreted as dramatic or metaphorical, which aligns with the classification of not being directly related to a verifiable disaster event. Therefore, while there is a strong indication of a disaster, the lack of concrete details about an actual event leads to a classification of ""0"" with a high confidence score.']","['{\'initial_response\': {\'classification\': \'1\', \'confidence\': \'0.85\', \'reasoning\': \'The tweet describes ""brightly burning buildings"" which suggests a disaster event, likely a fire affecting a town. However, the context is not clear whether this is a literal event or metaphorical language. The phrase ""all illuminated by"" could imply a dramatic description rather than a factual report. Given the ambiguity, I lean towards classifying it as not disaster-related, but with a relatively high confidence due to the mention of burning buildings.\'}, \'rounds\': [], \'summary\': \'All expert levels exhausted.\'}', '{\'initial_response\': \'1  \\n0.85  \\nThe tweet describes ""brightly burning buildings"" which suggests a disaster scenario, likely a fire or destruction of property. However, the context provided by the phrase ""all illuminated"" may imply a figurative or exaggerated expression rather than a direct report of an actual disaster event. The language used could be interpreted as dramatic or metaphorical, which aligns with the classification of not being directly related to a verifiable disaster event. Therefore, while there is a strong indication of a disaster, the lack of concrete details about an actual event leads to a classification of ""0"" with a high confidence score.\', \'rounds\': []}']","['A4MT', 'A4M2T']"
@TheEllenShow Please check into Salt River horses help stop the annihilation about to happen without 54000 more signatures.change .org Thx,0,1,"['1', 0.85]","['The tweet expresses a concern about the potential annihilation of the Salt River horses, indicating a real and pressing issue that may involve animal welfare and conservation efforts. The use of the term ""annihilation"" suggests a serious threat to these horses, which aligns with the classification of disaster-related events. The call for more signatures on a petition further emphasizes the urgency of the situation, indicating that it is a matter of public concern and action. Thus, it is classified as disaster-related. My confidence in this classification is high, as the context clearly relates to a significant emergency concerning animal welfare.', 'The tweet expresses concern about the potential annihilation of Salt River horses and calls for action to prevent it. The use of the word ""annihilation"" here is metaphorical, referring to the possible extinction or severe decline of the horse population rather than a literal disaster event. The context suggests an appeal for signatures to support a cause rather than reporting on an actual disaster event. Therefore, it should be classified as ""not disaster-related.""']","['{\'initial_response\': \'1  \\n1  \\nThe tweet expresses a concern about the potential annihilation of the Salt River horses, indicating a real and pressing issue that may involve animal welfare and conservation efforts. The use of the term ""annihilation"" suggests a serious threat to these horses, which aligns with the classification of disaster-related events. The call for more signatures on a petition further emphasizes the urgency of the situation, indicating that it is a matter of public concern and action. Thus, it is classified as disaster-related. My confidence in this classification is high, as the context clearly relates to a significant emergency concerning animal welfare.\', \'rounds\': []}', '{\'initial_response\': \'1  \\n0.85  \\nThe tweet expresses concern about the potential annihilation of Salt River horses and calls for action to prevent it. The use of the word ""annihilation"" here is metaphorical, referring to the possible extinction or severe decline of the horse population rather than a literal disaster event. The context suggests an appeal for signatures to support a cause rather than reporting on an actual disaster event. Therefore, it should be classified as ""not disaster-related.""\', \'rounds\': []}']","['A4MT', 'A4M2T']"
@booksbyRoger TY for the follow Go To http://t.co/l9MB2j5pXg BRUTALLY ABUSED+DESOLATE&amp;LOST + HER LOVELY MUM DIES..Is it Murder?,0,1,"['0.85', 0.85]","['The tweet mentions ""brutally abused,"" ""desolate,"" and ""her lovely mum dies,"" which could imply a serious situation. However, the context appears to be discussing a book or story rather than reporting on an actual disaster event. The phrase ""Is it Murder?"" suggests a narrative or fictional context rather than a real-life incident. Therefore, it does not meet the criteria for being classified as disaster-related. The confidence score reflects a strong belief in this interpretation, but there is some uncertainty due to the serious language used.', 'The tweet discusses a narrative involving themes of abuse, desolation, and a death that raises the question of murder. However, it does not report or describe a verifiable disaster event. Instead, it appears to reference a fictional or dramatized situation, likely intended to provoke interest in a book or story rather than report on an actual disaster. The language used, such as ""brutally abused"" and ""desolate,"" is metaphorical and does not indicate a real event, thus fitting the classification of ""Not Disaster-Related.""']","['{\'initial_response\': {\'classification\': \'1\', \'confidence\': \'0.85\', \'reasoning\': \'The tweet mentions ""brutally abused,"" ""desolate,"" and ""her lovely mum dies,"" which could imply a serious situation. However, the context appears to be discussing a book or story rather than reporting on an actual disaster event. The phrase ""Is it Murder?"" suggests a narrative or fictional context rather than a real-life incident. Therefore, it does not meet the criteria for being classified as disaster-related. The confidence score reflects a strong belief in this interpretation, but there is some uncertainty due to the serious language used.\'}, \'rounds\': [], \'summary\': \'All expert levels exhausted.\'}', '{\'initial_response\': \'1  \\n0.85  \\nThe tweet discusses a narrative involving themes of abuse, desolation, and a death that raises the question of murder. However, it does not report or describe a verifiable disaster event. Instead, it appears to reference a fictional or dramatized situation, likely intended to provoke interest in a book or story rather than report on an actual disaster. The language used, such as ""brutally abused"" and ""desolate,"" is metaphorical and does not indicate a real event, thus fitting the classification of ""Not Disaster-Related.""\', \'rounds\': []}']","['A4MT', 'A4M2T']"
A Dayton-area org tells me it was hit by a cyber attack: http://t.co/7LhKJz0IVO,1,0,"['0.85', 0.85]","['The tweet mentions a ""cyber attack,"" which is a serious incident, but it does not describe a natural disaster or a major physical emergency. It refers to a cyber-related issue rather than a disaster event as defined in the guidelines. The language used does not indicate a metaphorical or humorous context, but rather a factual report of an incident. However, since it does not fit the strict criteria of a disaster-related event (like natural disasters or major accidents), it is classified as ""not disaster-related.""', 'The tweet mentions a ""cyber attack,"" which is a significant event, but it does not describe a natural disaster, major accident, or any of the other categories outlined in the classification guidelines. Instead, it refers to a cyber incident that, while serious, falls outside the scope of disaster-related events as defined. The language used does not indicate a literal disaster but rather a technical issue affecting an organization. Thus, it is classified as ""not disaster-related.""']","['{\'initial_response\': {\'classification\': \'0\', \'confidence\': \'0.85\', \'reasoning\': \'The tweet mentions a ""cyber attack,"" which is a serious incident, but it does not describe a natural disaster or a major physical emergency. It refers to a cyber-related issue rather than a disaster event as defined in the guidelines. The language used does not indicate a metaphorical or humorous context, but rather a factual report of an incident. However, since it does not fit the strict criteria of a disaster-related event (like natural disasters or major accidents), it is classified as ""not disaster-related.""\'}, \'rounds\': [], \'summary\': \'All expert levels exhausted.\'}', '{\'initial_response\': \'0  \\n0.85  \\nThe tweet mentions a ""cyber attack,"" which is a significant event, but it does not describe a natural disaster, major accident, or any of the other categories outlined in the classification guidelines. Instead, it refers to a cyber incident that, while serious, falls outside the scope of disaster-related events as defined. The language used does not indicate a literal disaster but rather a technical issue affecting an organization. Thus, it is classified as ""not disaster-related.""\', \'rounds\': []}']","['A4MT', 'A4M2T']"
