text,true_label,predicted_label,confidence,model_reasoning,history,models
'American Weapons and Support Are Fueling a Bloody Air War in Yemen' http://t.co/7aGeAkVn2x,1,0,"[0.75, 0.75]","['The tweet discusses the impact of American weapons and support on the conflict in Yemen, but it does not report on a specific emergency or crisis requiring immediate attention. Instead, it appears to be a commentary on military actions, which can be interpreted as metaphorical rather than an urgent call for disaster response. The language used suggests a critique rather than a report of an actual emergency, leading to the classification of 0. However, there is some uncertainty due to the serious nature of the topic, hence the confidence score of 0.75.', 'The tweet discusses the situation in Yemen but does so in a political context rather than reporting an immediate emergency or crisis. It does not indicate a specific event requiring urgent attention, and the language used suggests a metaphorical or analytical approach rather than a direct report of a disaster. Therefore, it is classified as not useful for disaster response analysis.']","[""{'initial_response': {'classification': '0', 'confidence': '0.75', 'reasoning': 'The tweet discusses the impact of American weapons and support on the conflict in Yemen, but it does not report on a specific emergency or crisis requiring immediate attention. Instead, it appears to be a commentary on military actions, which can be interpreted as metaphorical rather than an urgent call for disaster response. The language used suggests a critique rather than a report of an actual emergency, leading to the classification of 0. However, there is some uncertainty due to the serious nature of the topic, hence the confidence score of 0.75.'}, 'rounds': [], 'summary': 'All expert levels exhausted.'}"", ""{'initial_response': '0  \\n0.75  \\nThe tweet discusses the situation in Yemen but does so in a political context rather than reporting an immediate emergency or crisis. It does not indicate a specific event requiring urgent attention, and the language used suggests a metaphorical or analytical approach rather than a direct report of a disaster. Therefore, it is classified as not useful for disaster response analysis.', 'rounds': []}""]","['A4M', 'A4M2']"
'Food crematoria' provoke outrage amid crisis famine memories... http://t.co/REsxAvgpyJ,1,0,"[0.75, 0.75]","['The tweet uses the term ""crisis"" and references ""famine memories,"" but it appears to be discussing a metaphorical or social commentary rather than reporting an actual emergency or crisis. The phrase ""Food crematoria"" suggests a provocative statement rather than a direct report of an ongoing disaster. Therefore, it is classified as not useful for disaster response analysis.', 'The tweet uses the term ""crisis"" and references ""famine memories,"" but it appears to be discussing a metaphorical or social issue rather than reporting on an actual emergency or disaster. The phrase ""Food crematoria"" suggests a controversial topic but does not indicate a current, urgent situation requiring immediate attention. Thus, it is classified as not useful for disaster response analysis.']","['{\'initial_response\': {\'classification\': \'0\', \'confidence\': \'0.75\', \'reasoning\': \'The tweet uses the term ""crisis"" and references ""famine memories,"" but it appears to be discussing a metaphorical or social commentary rather than reporting an actual emergency or crisis. The phrase ""Food crematoria"" suggests a provocative statement rather than a direct report of an ongoing disaster. Therefore, it is classified as not useful for disaster response analysis.\'}, \'rounds\': [], \'summary\': \'All expert levels exhausted.\'}', '{\'initial_response\': \'0  \\n0.75  \\nThe tweet uses the term ""crisis"" and references ""famine memories,"" but it appears to be discussing a metaphorical or social issue rather than reporting on an actual emergency or disaster. The phrase ""Food crematoria"" suggests a controversial topic but does not indicate a current, urgent situation requiring immediate attention. Thus, it is classified as not useful for disaster response analysis.\', \'rounds\': []}']","['A4M', 'A4M2']"
'Planted 390 years ago' it was moved to U-S. This Bonsai Survived Hiroshima But Its Story Was Nearly Lost http://t.co/jID4RO34gb via @NatGeo,1,0,"[0.75, 0.75]","[""The tweet discusses a bonsai tree that survived Hiroshima, but it does not report an actual emergency or crisis. Instead, it references a historical event in a metaphorical context, focusing on the tree's story rather than an ongoing disaster or urgent situation. While it mentions a significant historical disaster, the content does not indicate a current emergency requiring immediate attention. Therefore, it is classified as not useful for disaster response analysis."", 'The tweet discusses a bonsai tree that survived Hiroshima, which is a historical reference rather than a current emergency or crisis. While it mentions a significant event, it does not report on an actual emergency, accident, or crisis requiring immediate attention. The context appears to be more about history and preservation rather than a real-time disaster response situation. Therefore, it is classified as not useful for disaster response analysis.']","['{\'initial_response\': {\'classification\': \'0\', \'confidence\': \'0.75\', \'reasoning\': ""The tweet discusses a bonsai tree that survived Hiroshima, but it does not report an actual emergency or crisis. Instead, it references a historical event in a metaphorical context, focusing on the tree\'s story rather than an ongoing disaster or urgent situation. While it mentions a significant historical disaster, the content does not indicate a current emergency requiring immediate attention. Therefore, it is classified as not useful for disaster response analysis.""}, \'rounds\': [], \'summary\': \'All expert levels exhausted.\'}', ""{'initial_response': '0  \\n0.75  \\nThe tweet discusses a bonsai tree that survived Hiroshima, which is a historical reference rather than a current emergency or crisis. While it mentions a significant event, it does not report on an actual emergency, accident, or crisis requiring immediate attention. The context appears to be more about history and preservation rather than a real-time disaster response situation. Therefore, it is classified as not useful for disaster response analysis.', 'rounds': []}""]","['A4M', 'A4M2']"
70 Years After Atomic Bombs Japan Still Struggles With War Past: The anniversary of the devastation wrought b... http://t.co/iTBJ6DKRZI,1,0,"[0.75, 0.75]","['The tweet discusses the historical context of the atomic bombings in Japan and reflects on the ongoing struggles related to this event. It does not report a current emergency or crisis requiring immediate attention, but rather addresses a past event in a metaphorical context. While it mentions a significant historical disaster, it does not indicate an actual emergency situation, which aligns with the classification of not useful for disaster response analysis.', 'The tweet discusses the historical context of the atomic bombings in Japan and reflects on the ongoing struggles related to that event. However, it does not report an actual emergency, accident, or crisis requiring immediate attention. Instead, it uses disaster-related terminology in a reflective and metaphorical manner, focusing on the long-term impact rather than a current emergency situation. Therefore, it is classified as not useful for disaster response analysis.']","[""{'initial_response': {'classification': '0', 'confidence': '0.75', 'reasoning': 'The tweet discusses the historical context of the atomic bombings in Japan and reflects on the ongoing struggles related to this event. It does not report a current emergency or crisis requiring immediate attention, but rather addresses a past event in a metaphorical context. While it mentions a significant historical disaster, it does not indicate an actual emergency situation, which aligns with the classification of not useful for disaster response analysis.'}, 'rounds': [], 'summary': 'All expert levels exhausted.'}"", ""{'initial_response': '0  \\n0.75  \\nThe tweet discusses the historical context of the atomic bombings in Japan and reflects on the ongoing struggles related to that event. However, it does not report an actual emergency, accident, or crisis requiring immediate attention. Instead, it uses disaster-related terminology in a reflective and metaphorical manner, focusing on the long-term impact rather than a current emergency situation. Therefore, it is classified as not useful for disaster response analysis.', 'rounds': []}""]","['A4M', 'A4M2']"
70 Years After Atomic Bombs Japan Still Struggles With Wartime Past: The anniversary of the devastation wroug... http://t.co/EfsA6pbeMC,1,0,"[0.75, 0.75]","['The tweet discusses the historical context of the atomic bombings in Japan and reflects on the ongoing struggles related to that event. However, it does not report an actual emergency, accident, or crisis requiring immediate attention. Instead, it uses disaster-related terminology in a historical and metaphorical context, which aligns with the classification of not being useful for disaster response analysis. The confidence score reflects a moderate certainty in this classification.', 'The tweet discusses the historical context of the atomic bombings in Japan and reflects on the ongoing struggles related to that event. However, it does not report an actual emergency or crisis requiring immediate attention. Instead, it appears to use disaster-related terminology in a reflective or metaphorical manner, focusing on the past rather than indicating a current disaster situation. Therefore, it is classified as not useful for disaster response analysis.']","[""{'initial_response': {'classification': '0', 'confidence': '0.75', 'reasoning': 'The tweet discusses the historical context of the atomic bombings in Japan and reflects on the ongoing struggles related to that event. However, it does not report an actual emergency, accident, or crisis requiring immediate attention. Instead, it uses disaster-related terminology in a historical and metaphorical context, which aligns with the classification of not being useful for disaster response analysis. The confidence score reflects a moderate certainty in this classification.'}, 'rounds': [], 'summary': 'All expert levels exhausted.'}"", ""{'initial_response': '0  \\n0.75  \\nThe tweet discusses the historical context of the atomic bombings in Japan and reflects on the ongoing struggles related to that event. However, it does not report an actual emergency or crisis requiring immediate attention. Instead, it appears to use disaster-related terminology in a reflective or metaphorical manner, focusing on the past rather than indicating a current disaster situation. Therefore, it is classified as not useful for disaster response analysis.', 'rounds': []}""]","['A4M', 'A4M2']"
@CochiseCollege For the people who died in Human Experiments by Unit 731 of Japanese military http://t.co/vVPLFQv58P http://t.co/ldx9uKNGsk,1,0,"[0.75, 0.75]","['The tweet references historical events related to human experiments conducted by Unit 731, which is a serious topic but does not indicate a current emergency or crisis requiring immediate attention. It appears to be more of a historical commentary rather than a report of an ongoing disaster or accident. The inclusion of links suggests it may be sharing information rather than reporting an urgent situation. Therefore, it is classified as not useful for disaster response analysis.', 'The tweet references historical events related to human experiments conducted by Unit 731, which is a serious topic but does not indicate a current emergency or crisis requiring immediate attention. It appears to be a discussion or remembrance of past atrocities rather than a report of an ongoing disaster or accident. Therefore, it does not meet the criteria for being useful for disaster response analysis.']","[""{'initial_response': {'classification': '0', 'confidence': '0.75', 'reasoning': 'The tweet references historical events related to human experiments conducted by Unit 731, which is a serious topic but does not indicate a current emergency or crisis requiring immediate attention. It appears to be more of a historical commentary rather than a report of an ongoing disaster or accident. The inclusion of links suggests it may be sharing information rather than reporting an urgent situation. Therefore, it is classified as not useful for disaster response analysis.'}, 'rounds': [], 'summary': 'All expert levels exhausted.'}"", ""{'initial_response': '0  \\n0.75  \\nThe tweet references historical events related to human experiments conducted by Unit 731, which is a serious topic but does not indicate a current emergency or crisis requiring immediate attention. It appears to be a discussion or remembrance of past atrocities rather than a report of an ongoing disaster or accident. Therefore, it does not meet the criteria for being useful for disaster response analysis.', 'rounds': []}""]","['A4M', 'A4M2']"
@ContactEnergy Yep. During floods of 1999 or 2000 - Clyde Dam releasing every bit of water it could. Most speccy!  EV charging your way?,1,0,"[0.75, 0.75]","['The tweet references historical floods and the Clyde Dam\'s actions during that time, but it does so in a nostalgic and somewhat casual manner. The phrase ""Most speccy!"" suggests a light-hearted or informal tone, which indicates that the tweet is not reporting a current emergency or crisis. Instead, it appears to be reminiscing about past events rather than discussing an ongoing disaster. Therefore, it does not meet the criteria for being useful for disaster response analysis.', 'The tweet mentions historical floods and the Clyde Dam\'s water release, but it does so in a casual and somewhat nostalgic manner, referring to the events as ""most speccy."" There is no indication of a current emergency or crisis requiring immediate attention. The mention of EV charging further suggests a non-urgent context. Therefore, this tweet does not meet the criteria for being useful for disaster response analysis.']","['{\'initial_response\': {\'classification\': \'0\', \'confidence\': \'0.75\', \'reasoning\': \'The tweet references historical floods and the Clyde Dam\\\'s actions during that time, but it does so in a nostalgic and somewhat casual manner. The phrase ""Most speccy!"" suggests a light-hearted or informal tone, which indicates that the tweet is not reporting a current emergency or crisis. Instead, it appears to be reminiscing about past events rather than discussing an ongoing disaster. Therefore, it does not meet the criteria for being useful for disaster response analysis.\'}, \'rounds\': [], \'summary\': \'All expert levels exhausted.\'}', '{\'initial_response\': \'0  \\n0.75  \\nThe tweet mentions historical floods and the Clyde Dam\\\'s water release, but it does so in a casual and somewhat nostalgic manner, referring to the events as ""most speccy."" There is no indication of a current emergency or crisis requiring immediate attention. The mention of EV charging further suggests a non-urgent context. Therefore, this tweet does not meet the criteria for being useful for disaster response analysis.\', \'rounds\': []}']","['A4M', 'A4M2']"
@DavidVitter Hi David in 2003 I saw the USA walk into a war that destroyed the lives of millions. You can prevent a repeat. #IranDeal,1,0,"[0.75, 0.75]","['The tweet uses disaster-related terminology in a metaphorical context, discussing the impact of war on lives rather than reporting an actual emergency or crisis. While it references a significant historical event, it does not indicate a current or urgent situation requiring immediate attention. Therefore, it should be classified as not useful for disaster response analysis.', 'The tweet uses disaster-related terminology in a metaphorical context, discussing the impact of war on lives without reporting an actual emergency or crisis. It references a historical event rather than a current situation requiring immediate attention. While it does mention a serious topic, it does not indicate a real-time emergency or crisis, thus it is classified as not useful for disaster response analysis.']","[""{'initial_response': {'classification': '0', 'confidence': '0.75', 'reasoning': 'The tweet uses disaster-related terminology in a metaphorical context, discussing the impact of war on lives rather than reporting an actual emergency or crisis. While it references a significant historical event, it does not indicate a current or urgent situation requiring immediate attention. Therefore, it should be classified as not useful for disaster response analysis.'}, 'rounds': [], 'summary': 'All expert levels exhausted.'}"", ""{'initial_response': '0  \\n0.75  \\nThe tweet uses disaster-related terminology in a metaphorical context, discussing the impact of war on lives without reporting an actual emergency or crisis. It references a historical event rather than a current situation requiring immediate attention. While it does mention a serious topic, it does not indicate a real-time emergency or crisis, thus it is classified as not useful for disaster response analysis.', 'rounds': []}""]","['A4M', 'A4M2']"
@SourMashNumber7 @tomfromireland @rfcgeom66 @BBCTalkback They didn't succeed the other two times either. Bomb didn't detonate&amp;Shots missed.,1,0,"[0.75, 0.75]","['The tweet discusses a past event involving a bomb that did not detonate and shots that missed, but it does not indicate a current emergency or crisis situation. It appears to reference a historical incident rather than reporting an ongoing emergency. The language used suggests a metaphorical or retrospective context rather than an urgent call for disaster response.', ""The tweet discusses a situation involving a bomb that didn't detonate and shots that missed, which could imply a serious incident. However, the context appears to be more about a past event or commentary rather than an ongoing emergency or crisis requiring immediate attention. The use of the terms does not indicate a current emergency, and it seems to be reflective rather than urgent. Therefore, it is classified as not useful for disaster response analysis.""]","[""{'initial_response': {'classification': '0', 'confidence': '0.75', 'reasoning': 'The tweet discusses a past event involving a bomb that did not detonate and shots that missed, but it does not indicate a current emergency or crisis situation. It appears to reference a historical incident rather than reporting an ongoing emergency. The language used suggests a metaphorical or retrospective context rather than an urgent call for disaster response.'}, 'rounds': [], 'summary': 'All expert levels exhausted.'}"", '{\'initial_response\': ""0  \\n0.75  \\nThe tweet discusses a situation involving a bomb that didn\'t detonate and shots that missed, which could imply a serious incident. However, the context appears to be more about a past event or commentary rather than an ongoing emergency or crisis requiring immediate attention. The use of the terms does not indicate a current emergency, and it seems to be reflective rather than urgent. Therefore, it is classified as not useful for disaster response analysis."", \'rounds\': []}']","['A4M', 'A4M2']"
@TheNissonian @RejectdCartoons nissan are you ok do you need medical assistance i can call an ambulance if you need me to,0,1,"[0.92, 0.92]","[""The tweet expresses concern for someone's well-being and offers to call an ambulance, which indicates a real-life emergency situation. It does not use disaster-related terminology metaphorically or in a non-urgent context. Therefore, it is classified as useful for disaster response analysis."", ""The tweet expresses concern for someone's well-being and offers to call an ambulance, suggesting a potential emergency situation. However, it appears to be directed at a user in a casual context rather than reporting an actual emergency. The language used is more conversational and does not indicate a real-life crisis, leading to the classification of 0. The high confidence score reflects the clarity of the context as non-urgent.""]","['{\'initial_response\': ""1  \\n0.92  \\nThe tweet expresses concern for someone\'s well-being and offers to call an ambulance, which indicates a real-life emergency situation. It does not use disaster-related terminology metaphorically or in a non-urgent context. Therefore, it is classified as useful for disaster response analysis."", \'rounds\': []}', '{\'initial_response\': ""1  \\n0.92  \\nThe tweet expresses concern for someone\'s well-being and offers to call an ambulance, suggesting a potential emergency situation. However, it appears to be directed at a user in a casual context rather than reporting an actual emergency. The language used is more conversational and does not indicate a real-life crisis, leading to the classification of 0. The high confidence score reflects the clarity of the context as non-urgent."", \'rounds\': []}']","['A4M', 'A4M2']"
